key,last_update_moment,step,resolution_percentage,status,resolution,publish,key:claim
# base entity
trackingLog-01,2022/08/02 00:00,Va bien la reclamacion,25.00,PENDING,Por decidir,false,claim-01
# last_update_moment
trackingLog-02,2022/11/02 17:01,โลเร็ม อิปซัม,25.00,PENDING,โลเร็ม อิปซัม,false,claim-02
trackingLog-03,2020/09/01 10:04,لوريم إيبسوم,25.00,PENDING,لوريم إيبسوم,false,claim-03
trackingLog-04,2020/09/01 10:05,洛伦·伊普森,25.00,PENDING,洛伦·伊普森,false,claim-04
trackingLog-05,2024/12/31 23:59,<marquee>Hacked</marquee>,25.00,PENDING,<marquee>Hacked</marquee>,false,claim-05
trackingLog-06,2025/01/01 00:00,<script>alert(‘Hacked!’);</script>,25.00,PENDING,<script>alert(‘Hacked!’);</script>,false,claim-06
# step,"",""
trackingLog-07,2022/08/02 00:00,Lorem ipsum dolor sit ame,25.00,PENDING,Por decidir,false,claim-07
trackingLog-08,2022/08/02 00:00,L,25.00,PENDING,Por decidir,false,claim-08
trackingLog-09,2022/08/02 00:00,Lo,25.00,PENDING,Por decidir,false,claim-09
trackingLog-10,2022/08/02 00:00,"Lorem ipsum dolor sit amet, consectetur adipiscin",25.00,PENDING,Por decidir,false,claim-10
trackingLog-11,2022/08/02 00:00,"Lorem ipsum dolor sit amet, consectetur adipiscing",25.00,PENDING,Por decidir,false,claim-11
# resolution_percentage,"","",""
trackingLog-12,2022/08/02 00:00,' or 'A' = 'A,50.00,PENDING,' or 'A' = 'A,false,claim-12
trackingLog-13,2022/08/02 00:00,Va bien la reclamacion,00.00,PENDING,Por decidir,false,claim-13
trackingLog-14,2022/08/02 00:00,Va bien la reclamacion,00.01,PENDING,Por decidir,false,claim-14
trackingLog-15,2022/08/02 00:00,Va bien la reclamacion,99.99,PENDING,Por decidir,false,claim-15
trackingLog-16,2022/08/02 00:00,Va bien la reclamacion,100.00,ACCEPTED,Por decidir,false,claim-16
# status
trackingLog-17,2022/08/02 00:00,Va bien la reclamacion,25.00,PENDING,Por decidir,false,claim-17
trackingLog-18,2022/08/02 00:00,Va bien la reclamacion,100,ACCEPTED,Por decidir,false,claim-18
trackingLog-19,2022/08/02 00:00,Va bien la reclamacion,100,REJECTED,Por decidir,false,claim-19
# resolution
trackingLog-20,2022/08/02 00:00,Va bien la reclamacion,25.00,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",false,claim-20
trackingLog-21,2022/08/02 00:00,Va bien la reclamacion,25.00,PENDING,L,false,claim-21
trackingLog-22,2022/08/02 00:00,Va bien la reclamacion,25.00,PENDING,Lo,false,claim-22
trackingLog-23,2022/08/02 00:00,Va bien la reclamacion,25.00,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",false,claim-23
trackingLog-24,2022/08/02 00:00,Va bien la reclamacion,25.00,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",false,claim-24
# publish,"","","","","","",""
trackingLog-25,2022/08/02 00:00,Va bien la reclamacion,25.00,PENDING,Por decidir,false,claim-29
trackingLog-26,2022/08/02 00:00,Va bien la reclamacion,25.00,PENDING,Por decidir,true,claim-30
